order_id,customer_id,product_id,category,quantity,unit_price,order_date,region,status
ORD60235,CUST035,PROD015,Sports & Outdoors,8,120.64,2026-08-17,Seattle,Completed
ORD16323,CUST023,PROD039,Electronics,6,1011.37,2026-08-30,Chicago,Completed
ORD18275,CUST066,PROD039,Toys,3,749.66,2026-08-30,New York,Cancelled
ORD78527,CUST006,PROD029,Sports & Outdoors,7,2129.17,2026-08-30,Chicago,Completed
ORD33454,CUST072,PROD049,Electronics,8,1446.37,2026-08-20,Phoenix,Completed
ORD34441,CUST091,PROD036,Electronics,7,2953.77,2026-08-30,New York,Completed
ORD42208,CUST078,PROD035,Toys,1,973.47,2026-08-30,Miami,Shipped
ORD71779,CUST093,PROD010,Home & Garden,15,649.29,2026-08-30,Seattle,Completed
ORD64737,CUST049,PROD024,Home & Garden,5,1270.06,2026-08-13,Houston,Shipped
ORD78125,CUST093,PROD002,Electronics,1,189.93,2026-08-12,Los Angeles,Shipped
ORD20116,CUST033,PROD050,Clothing,2,698.14,2026-08-30,Chicago,Completed
ORD69427,CUST060,PROD050,Home & Garden,7,2504.46,2026-08-30,Chicago,Pending
ORD29172,CUST053,PROD021,Clothing,9,1427.03,2026-08-07,Los Angeles,Pending
ORD18382,CUST096,PROD010,Sports & Outdoors,12,1212.85,2026-08-30,Miami,Shipped
ORD84582,CUST001,PROD005,Clothing,4,2734.88,2026-08-30,Houston,Shipped
ORD94803,CUST071,PROD009,Toys,11,2112.91,2026-08-30,New York,Pending
ORD49299,CUST004,PROD008,Toys,10,2416.15,2026-08-30,Phoenix,Shipped
ORD81150,CUST072,PROD042,Clothing,10,1542.53,2026-08-30,Miami,Completed
ORD43889,CUST059,PROD047,Clothing,4,298.67,2026-08-01,Los Angeles,Completed
ORD31138,CUST048,PROD031,Toys,3,1526.76,2026-08-30,Chicago,Completed
ORD27082,CUST061,PROD027,Clothing,14,166.95,2026-08-12,Seattle,Completed
ORD98684,CUST055,PROD022,Toys,4,1716.64,2026-08-30,Phoenix,Completed
ORD16911,,PROD032,Sports & Outdoors,4,899.53,2026-08-30,Miami,Completed
ORD53525,CUST055,PROD029,Clothing,6,953.89,2026-08-30,New York,Completed
ORD75012,CUST100,PROD017,Clothing,9,462.56,2026-08-30,Miami,Pending
ORD61770,CUST016,PROD028,Toys,3,2427.31,2026-08-30,Miami,Completed
ORD27180,CUST018,PROD016,Home & Garden,15,2363.51,2026-08-30,Miami,Shipped
ORD87572,CUST064,PROD042,Electronics,7,1883.25,2026-08-30,Phoenix,Completed
ORD28267,CUST068,PROD048,Toys,8,2364.91,2026-08-30,Houston,Cancelled
ORD65214,,PROD003,Clothing,1,1113.58,2026-08-30,Phoenix,Completed
ORD91226,CUST044,PROD026,Home & Garden,10,138.05,2026-08-30,Phoenix,Pending
ORD35521,CUST044,PROD005,Home & Garden,2,1500.02,2026-08-20,Seattle,Completed
ORD62963,CUST054,PROD029,Home & Garden,1,730.73,2026-08-30,Houston,Completed
ORD79627,CUST024,PROD018,Electronics,4,191.98,2026-08-30,Seattle,Pending
ORD22334,CUST052,PROD017,Sports & Outdoors,9,2977.67,2026-08-30,Chicago,Shipped
ORD63024,CUST066,PROD021,Sports & Outdoors,15,390.04,2026-08-30,Los Angeles,Shipped
ORD28088,CUST078,PROD006,Electronics,9,1563.52,2026-08-30,Houston,Cancelled
ORD51509,,PROD014,Sports & Outdoors,9,2781.97,2026-08-30,New York,Cancelled
ORD87200,,PROD045,Toys,3,1216.57,2026-08-28,Chicago,Pending
ORD16758,CUST024,PROD047,Sports & Outdoors,6,2178.17,2026-08-19,Seattle,Completed
ORD33243,CUST097,PROD050,Sports & Outdoors,10,1619.78,2026-08-30,Chicago,Cancelled
ORD52682,CUST020,PROD020,Sports & Outdoors,1,1142.96,2026-08-05,Los Angeles,Completed
ORD99715,CUST012,PROD023,Electronics,12,1705.98,2026-08-30,Phoenix,Cancelled
ORD51204,CUST081,PROD037,Toys,2,66.42,2026-08-30,Phoenix,Cancelled
ORD69605,CUST047,PROD022,Clothing,10,2060.76,2026-08-30,Phoenix,Cancelled
ORD55932,CUST001,PROD003,Electronics,9,2893.61,2026-08-30,New York,Completed
ORD24670,CUST083,PROD002,Clothing,10,245.3,2026-08-14,Seattle,Cancelled
ORD22515,,PROD040,Home & Garden,2,2108.19,2026-07-31,Miami,Pending
ORD55566,CUST078,PROD005,Toys,6,56.92,2026-08-30,Phoenix,Pending
ORD11714,CUST044,PROD005,Electronics,2,2964.74,2026-08-11,Phoenix,Completed
ORD71914,CUST028,PROD046,Home & Garden,13,2138.0,2026-08-30,Miami,Completed
ORD93103,CUST087,PROD030,Toys,11,2154.19,2026-08-29,Chicago,Completed
ORD64835,CUST041,PROD032,Sports & Outdoors,9,1259.23,2026-08-30,New York,Completed
ORD24856,CUST059,PROD025,Clothing,14,2797.29,2026-08-08,Phoenix,Cancelled
ORD11698,CUST019,PROD031,Home & Garden,8,2495.77,2026-08-30,Chicago,Completed
ORD38820,CUST006,PROD014,Home & Garden,6,2654.94,2026-08-30,Chicago,Cancelled
ORD77698,CUST081,PROD021,Electronics,5,2144.55,2026-08-30,Miami,Pending
ORD14971,CUST056,PROD009,Home & Garden,8,1476.14,2026-08-10,Chicago,Completed
ORD97459,CUST088,PROD031,Clothing,3,2106.66,2026-08-14,Chicago,Completed
ORD35550,CUST100,PROD044,Sports & Outdoors,14,1348.02,2026-08-17,Chicago,Shipped
ORD26879,CUST018,PROD002,Electronics,7,1559.05,2026-08-30,Phoenix,Completed
ORD80538,CUST019,PROD036,Home & Garden,2,412.82,2026-08-30,Los Angeles,Cancelled
ORD98334,CUST023,PROD046,Clothing,12,533.01,2026-08-30,Los Angeles,Completed
ORD50735,CUST081,PROD006,Clothing,2,2178.13,2026-08-08,Seattle,Shipped
ORD72772,CUST073,PROD031,Electronics,8,2703.38,2026-08-30,Houston,Shipped
ORD25726,CUST064,PROD040,Home & Garden,7,824.58,2026-08-30,Los Angeles,Pending
ORD39207,CUST026,PROD031,Home & Garden,8,1534.83,2026-08-30,Chicago,Pending
ORD87341,CUST001,PROD012,Sports & Outdoors,6,312.06,2026-08-30,Miami,Completed
ORD18582,CUST001,PROD045,Electronics,15,515.27,2026-08-30,New York,Completed
ORD64917,CUST020,PROD041,Home & Garden,3,2012.49,2026-08-30,Chicago,Completed
ORD76303,CUST006,PROD036,Clothing,15,295.23,2026-08-30,Houston,Completed
ORD58571,CUST071,PROD027,Clothing,4,337.3,2026-08-30,Chicago,Pending
ORD58869,CUST061,PROD033,Toys,3,2089.15,2026-08-15,Houston,Cancelled
ORD41238,CUST057,PROD013,Home & Garden,15,1262.26,2026-08-30,Chicago,Completed
ORD77636,CUST058,PROD029,Home & Garden,6,1650.1,2026-08-11,Miami,Completed
ORD44947,CUST100,PROD010,Sports & Outdoors,12,2611.38,2026-08-30,Chicago,Cancelled
ORD22129,CUST091,PROD018,Home & Garden,3,683.29,2026-08-30,New York,Cancelled
ORD48127,CUST010,PROD047,Toys,7,387.2,2026-08-30,Seattle,Completed
ORD46575,CUST032,PROD044,Toys,9,1210.94,2026-08-27,Phoenix,Completed
ORD25327,CUST055,PROD013,Toys,7,2523.35,2026-08-30,Phoenix,Completed
ORD57009,CUST001,PROD034,Electronics,7,2612.02,2026-08-30,Phoenix,Completed
ORD97619,CUST071,PROD040,Clothing,7,1750.21,2026-08-30,Los Angeles,Shipped
ORD27602,CUST013,PROD039,Home & Garden,14,1849.95,2026-08-30,Miami,Completed
ORD61001,CUST015,PROD047,Toys,12,1378.59,2026-08-30,Houston,Completed
ORD66280,CUST083,PROD049,Home & Garden,4,139.14,2026-08-30,Miami,Completed
ORD76177,CUST070,PROD043,Electronics,4,1756.16,2026-08-02,Los Angeles,Cancelled
ORD30853,CUST048,PROD010,Sports & Outdoors,11,582.51,2026-08-30,Phoenix,Completed
ORD26096,CUST083,PROD002,Electronics,10,550.92,2026-08-30,Seattle,Completed
ORD65726,CUST044,PROD016,Toys,4,355.14,2026-08-23,Los Angeles,Cancelled
ORD32008,CUST077,PROD006,Clothing,10,2291.79,2026-08-07,Los Angeles,Cancelled
ORD31840,CUST094,PROD016,Sports & Outdoors,6,1951.19,2026-08-01,Houston,Completed
ORD96434,CUST014,PROD017,Home & Garden,15,1225.28,2026-08-30,Los Angeles,Pending
ORD43236,CUST022,PROD048,Clothing,3,559.87,2026-08-30,Phoenix,Shipped
ORD63612,CUST057,PROD015,Electronics,14,1931.58,2026-08-30,New York,Completed
ORD58604,CUST063,PROD014,Home & Garden,4,849.28,2026-08-30,Houston,Pending
ORD85800,CUST060,PROD035,Clothing,9,911.59,2026-08-30,Los Angeles,Completed
ORD77530,CUST021,PROD049,Home & Garden,2,426.97,2026-08-30,New York,Completed
ORD71618,CUST024,PROD011,Electronics,9,853.93,2026-08-02,Phoenix,Pending
ORD83502,CUST003,PROD025,Sports & Outdoors,4,884.48,2026-08-30,Chicago,Completed
ORD20744,,PROD048,Sports & Outdoors,11,2352.92,2026-08-10,Phoenix,Completed
ORD49284,,PROD018,Clothing,5,649.66,2026-08-30,Los Angeles,Completed
ORD43605,CUST043,PROD033,Sports & Outdoors,14,992.71,2026-08-30,Chicago,Cancelled
ORD85496,CUST002,PROD030,Home & Garden,6,41.76,2026-08-15,Seattle,Completed
ORD73022,CUST027,PROD022,Electronics,9,458.59,2026-08-21,Seattle,Pending
ORD32870,CUST057,PROD044,Home & Garden,9,346.38,2026-08-30,Houston,Completed
ORD38672,CUST093,PROD005,Electronics,11,1177.09,2026-08-30,New York,Completed
ORD72154,CUST039,PROD018,Sports & Outdoors,12,1473.6,2026-08-30,Phoenix,Cancelled
ORD62672,CUST033,PROD045,Home & Garden,6,876.15,2026-08-22,Chicago,Shipped
ORD65013,CUST067,PROD044,Electronics,4,222.65,2026-08-19,Los Angeles,Completed
ORD69441,,PROD036,Electronics,11,2193.92,2026-08-03,New York,Completed
ORD79553,CUST047,PROD042,Clothing,9,2528.21,2026-08-03,Phoenix,Completed
ORD23058,,PROD007,Home & Garden,6,502.01,2026-08-03,Chicago,Shipped
ORD41100,,PROD040,Home & Garden,7,2087.95,2026-08-30,Phoenix,Cancelled
ORD37807,CUST008,PROD030,Toys,14,1078.0,2026-08-11,Phoenix,Pending
ORD42321,CUST024,PROD048,Toys,3,1225.51,2026-08-30,Phoenix,Shipped
ORD32345,CUST012,PROD032,Home & Garden,4,216.17,2026-08-30,New York,Completed
ORD32992,CUST048,PROD039,Toys,12,2682.95,2026-08-30,New York,Completed
ORD63427,CUST097,PROD033,Clothing,8,2700.23,2026-08-30,Los Angeles,Shipped
ORD15177,CUST058,PROD035,Toys,2,2731.09,2026-08-30,Houston,Pending
ORD28016,CUST040,PROD042,Electronics,10,1197.79,2026-08-30,Miami,Completed
ORD89472,CUST097,PROD015,Sports & Outdoors,9,221.06,2026-08-30,Seattle,Cancelled
ORD31200,CUST055,PROD040,Toys,11,26.13,2026-08-02,Phoenix,Shipped
ORD54675,CUST058,PROD015,Home & Garden,2,176.13,2026-08-30,Chicago,Completed
ORD17033,CUST020,PROD019,Sports & Outdoors,8,162.11,2026-08-30,Phoenix,Completed
ORD59794,CUST090,PROD028,Home & Garden,1,2416.56,2026-08-30,Seattle,Shipped
ORD17139,CUST026,PROD038,Sports & Outdoors,8,489.23,2026-08-30,Los Angeles,Completed
ORD55368,CUST068,PROD041,Electronics,3,1261.72,2026-08-29,Chicago,Shipped
ORD86170,,PROD019,Electronics,6,2514.77,2026-08-30,Chicago,Completed
ORD32729,CUST025,PROD035,Toys,11,1555.52,2026-08-10,Phoenix,Completed
ORD80950,CUST008,PROD045,Electronics,7,1507.98,2026-08-30,Miami,Completed
ORD95723,CUST001,PROD034,Electronics,11,1482.14,2026-08-30,Seattle,Pending
ORD13602,CUST098,PROD044,Toys,10,433.43,2026-08-30,Miami,Completed
ORD89703,,PROD009,Sports & Outdoors,9,891.26,2026-08-30,Phoenix,Completed
ORD28741,CUST080,PROD002,Toys,13,2343.19,2026-08-07,Chicago,Shipped
ORD46029,CUST016,PROD006,Sports & Outdoors,11,1259.79,2026-08-30,Chicago,Cancelled
ORD66425,CUST084,PROD047,Clothing,7,2949.89,2026-08-30,Houston,Pending
ORD96070,CUST069,PROD045,Clothing,15,1715.03,2026-08-26,Miami,Completed
ORD50513,CUST012,PROD020,Sports & Outdoors,3,2985.18,2026-08-30,New York,Shipped
ORD72144,CUST032,PROD023,Home & Garden,14,530.77,2026-08-30,Chicago,Completed
ORD84113,CUST093,PROD044,Toys,10,588.28,2026-08-30,Los Angeles,Cancelled
ORD54344,CUST057,PROD042,Electronics,6,498.76,2026-08-04,Chicago,Pending
ORD63859,CUST023,PROD038,Home & Garden,8,144.96,2026-08-18,Seattle,Completed
ORD55225,CUST061,PROD043,Toys,2,1710.87,2026-08-30,Los Angeles,Cancelled
ORD47370,CUST089,PROD026,Sports & Outdoors,10,956.59,2026-08-30,Seattle,Completed
ORD28664,,PROD031,Electronics,14,514.98,2026-08-02,Miami,Cancelled
ORD80634,CUST017,PROD050,Sports & Outdoors,11,1563.61,2026-08-23,Houston,Pending
ORD40462,CUST009,PROD042,Clothing,13,1962.32,2026-08-26,Phoenix,Pending
ORD11756,,PROD020,Clothing,6,1076.79,2026-08-30,Seattle,Cancelled
ORD64342,CUST023,PROD034,Clothing,14,1875.08,2026-08-30,Los Angeles,Shipped
ORD70546,CUST072,PROD015,Sports & Outdoors,4,2196.89,2026-08-30,Phoenix,Shipped
ORD49154,,PROD044,Home & Garden,7,1457.87,2026-08-30,Phoenix,Shipped
ORD30613,CUST048,PROD022,Toys,15,2614.81,2026-08-30,Houston,Cancelled
ORD97507,CUST005,PROD009,Electronics,5,1015.37,2026-08-30,Seattle,Pending
ORD25281,CUST007,PROD018,Home & Garden,10,2959.85,2026-08-30,Seattle,Shipped
ORD33632,CUST050,PROD035,Clothing,11,2603.23,2026-08-30,New York,Pending
ORD26583,CUST010,PROD041,Toys,13,2642.05,2026-08-30,Miami,Pending
ORD54450,,PROD017,Home & Garden,13,2700.0,2026-08-30,New York,Pending
ORD64572,CUST031,PROD010,Clothing,6,567.42,2026-08-30,New York,Cancelled
ORD43086,CUST008,PROD022,Sports & Outdoors,13,322.51,2026-08-30,Phoenix,Pending
ORD33400,CUST093,PROD019,Home & Garden,13,2401.13,2026-08-30,Miami,Completed
ORD32340,CUST073,PROD003,Clothing,3,1865.29,2026-08-30,Phoenix,Completed
ORD74493,,PROD008,Toys,6,1677.66,2026-08-30,Los Angeles,Cancelled
ORD24655,CUST056,PROD015,Toys,15,546.29,2026-08-05,Phoenix,Completed
ORD62605,CUST088,PROD004,Electronics,6,2332.72,2026-08-20,Miami,Shipped
ORD20300,CUST015,PROD030,Electronics,7,2936.65,2026-08-21,Seattle,Completed
ORD10388,CUST023,PROD031,Home & Garden,5,2895.71,2026-08-30,Los Angeles,Completed
ORD31515,CUST087,PROD041,Sports & Outdoors,6,2160.62,2026-08-30,New York,Cancelled
ORD21731,CUST063,PROD009,Toys,3,20.12,2026-08-30,Phoenix,Completed
ORD70754,CUST072,PROD024,Home & Garden,13,103.07,2026-08-30,Los Angeles,Completed
ORD69638,CUST078,PROD002,Clothing,4,2728.69,2026-07-31,Miami,Completed
ORD29748,CUST099,PROD012,Toys,13,388.85,2026-08-30,Houston,Cancelled
ORD53604,CUST082,PROD015,Toys,7,564.39,2026-08-21,Seattle,Completed
ORD94619,CUST031,PROD044,Sports & Outdoors,8,964.63,2026-08-30,Chicago,Completed
ORD40121,CUST010,PROD040,Sports & Outdoors,7,2967.33,2026-08-06,Los Angeles,Completed
ORD69344,CUST047,PROD033,Clothing,6,219.71,2026-08-06,Seattle,Pending
ORD79256,CUST090,PROD046,Home & Garden,5,333.48,2026-08-24,Houston,Completed
ORD29903,CUST090,PROD047,Electronics,10,324.76,2026-08-30,Chicago,Pending
ORD45835,CUST025,PROD031,Sports & Outdoors,3,2955.71,2026-08-30,Miami,Cancelled
ORD69292,CUST063,PROD045,Home & Garden,1,1353.97,2026-08-30,Chicago,Completed
ORD67826,CUST003,PROD007,Toys,11,2766.41,2026-08-18,Los Angeles,Shipped
ORD80934,CUST073,PROD007,Clothing,7,1212.86,2026-08-25,Seattle,Cancelled
ORD53798,CUST018,PROD049,Electronics,4,1875.08,2026-08-30,Houston,Completed
ORD97850,,PROD034,Clothing,8,376.89,2026-08-30,Miami,Completed
ORD17586,CUST018,PROD027,Clothing,12,2359.86,2026-08-30,Chicago,Cancelled
ORD48690,CUST030,PROD032,Electronics,6,250.13,2026-08-14,Seattle,Pending
ORD40470,CUST043,PROD036,Sports & Outdoors,9,2832.31,2026-08-30,Seattle,Pending
ORD50034,CUST086,PROD040,Sports & Outdoors,7,1440.4,2026-08-03,Miami,Pending
ORD10637,,PROD018,Home & Garden,5,2207.02,2026-08-30,Seattle,Cancelled
ORD26092,CUST028,PROD047,Home & Garden,15,223.26,2026-08-30,Houston,Cancelled
ORD95395,CUST077,PROD047,Toys,14,1503.44,2026-08-01,New York,Pending
ORD25540,CUST029,PROD021,Sports & Outdoors,10,1339.96,2026-08-30,Miami,Pending
ORD73362,CUST014,PROD031,Home & Garden,11,2045.72,2026-08-30,Phoenix,Completed
ORD22103,CUST052,PROD042,Sports & Outdoors,10,1821.93,2026-08-17,Seattle,Cancelled
ORD50458,CUST008,PROD037,Sports & Outdoors,7,280.35,2026-08-09,New York,Cancelled
ORD27284,CUST035,PROD020,Toys,6,2470.86,2026-08-30,Houston,Completed
ORD82217,,PROD024,Electronics,2,2132.04,2026-08-30,Houston,Shipped
ORD53405,CUST020,PROD026,Home & Garden,9,666.59,2026-08-30,Miami,Pending
ORD73819,CUST038,PROD043,Clothing,15,2510.69,2026-08-30,Phoenix,Shipped
ORD51885,CUST020,PROD049,Sports & Outdoors,7,2313.21,2026-08-30,New York,Shipped
ORD28965,,PROD048,Electronics,5,2618.34,2026-08-30,Seattle,Shipped
ORD75313,CUST079,PROD046,Electronics,11,782.54,2026-08-18,Los Angeles,Completed
ORD31047,CUST070,PROD049,Electronics,10,571.51,2026-08-10,New York,Shipped
